time,rssi,remrssi,noise,remnoise,rxerrors,fixed
1668088011.3442192,-106,-99,19,51,94,0
1668088011.8043563,-106,-99,19,51,94,0
1668088012.2643661,-108,-99,18,51,94,0
1668088012.7337487,-109,-99,18,51,95,0
1668088013.424096,-111,-99,20,51,95,0
1668088013.8841684,-112,-120,19,0,95,0
1668088014.3545306,-111,-120,19,0,95,0
1668088014.8139808,-112,-120,20,0,95,0
1668088015.2742,-112,-120,20,0,95,0
1668088015.9540765,-111,-96,21,52,95,0
1668088016.414258,-111,-96,19,52,96,0
1668088016.8742485,-109,-96,20,60,96,0
1668088017.3342602,-108,-96,22,40,97,0
1668088017.794165,-108,-96,21,47,98,0
1668088018.4143143,-108,-96,19,48,101,0
1668088018.854085,-108,-96,19,48,103,0
1668088019.413932,-108,-96,21,48,103,0
1668088019.8740754,-108,-96,19,48,103,0
1668088020.3445787,-109,-96,20,48,103,0
1668088021.0241125,-109,-96,20,48,103,0
1668088021.4942594,-111,-96,18,48,103,0
1668088021.9542348,-111,-96,20,48,103,0
1668088022.4242373,-111,-120,19,0,103,0
1668088022.884183,-111,-120,19,0,103,0
1668088023.5741606,-110,-120,20,0,104,0
1668088023.934208,-109,-120,18,0,106,0
1668088024.4940412,-109,-120,19,0,106,0
1668088024.964129,-110,-120,19,0,107,0
1668088025.403923,-110,-120,17,0,107,0
1668088026.1140702,-110,-120,19,0,107,0
1668088026.5741537,-110,-120,20,0,108,0
1668088026.93449,-110,-101,20,42,109,0
1668088027.4940073,-110,-101,18,43,110,0
1668088027.954484,-110,-101,19,43,111,0
1668088028.6440048,-109,-101,19,43,115,0
1668088029.1040406,-110,-101,18,43,116,0
1668088029.5739074,-109,-101,19,43,117,0
1668088030.034248,-109,-103,22,45,117,0
1668088030.4941733,-109,-103,20,45,119,0
1668088031.1841328,-109,-103,20,45,120,0
1668088031.65424,-108,-103,21,45,121,0
1668088032.1038551,-107,-103,19,45,121,0
1668088032.5740077,-107,-103,20,45,121,0
1668088033.0341303,-107,-103,17,45,121,0
1668088033.7240572,-106,-103,20,45,122,0
1668088034.18414,-106,-103,18,45,122,0
1668088034.6541016,-107,-103,18,45,122,0
1668088035.1039088,-107,-103,20,45,122,0
1668088035.5739958,-107,-103,18,45,123,0
1668088036.2542415,-108,-103,20,45,125,0
1668088036.7242153,-108,-102,19,43,128,0
1668088037.1841958,-108,-102,19,43,129,0
1668088037.6543772,-109,-102,20,43,129,0
1668088038.1138232,-109,-102,19,45,131,0
1668088038.8045511,-109,-102,21,43,133,0
1668088039.2745652,-109,-102,22,43,133,0
1668088039.7342591,-109,-102,23,43,133,0
1668088040.1941538,-110,-102,19,43,133,0
1668088040.6442842,-110,-102,20,47,133,0
1668088041.3343124,-110,-102,18,47,133,0
1668088041.7940595,-110,-102,22,47,133,0
1668088042.2641845,-110,-102,20,47,133,0
1668088042.7239194,-111,-102,21,47,133,0
1668088043.1941097,-111,-102,22,47,133,0
1668088043.8845885,-111,-120,19,0,133,0
1668088044.344154,-111,-120,18,0,133,0
1668088044.8043458,-111,-120,19,0,133,0
1668088045.2739902,-111,-120,19,0,133,0
1668088045.734225,-111,-120,19,0,133,0
1668088046.4242334,-111,-120,20,0,133,0
1668088046.8940063,-111,-120,19,0,133,0
1668088047.3539658,-111,-120,19,0,133,0
1668088047.814009,-110,-120,20,0,134,0
1668088048.2845204,-110,-120,21,0,134,0
1668088048.9741788,-110,-120,19,0,137,0
1668088049.434124,-110,-120,19,0,137,0
1668088049.904223,-110,-120,19,0,137,0
1668088050.3642676,-110,-120,22,0,137,0
1668088050.8344793,-110,-120,20,0,137,0
1668088051.5141616,-110,-120,20,0,137,0
1668088051.9841845,-110,-120,21,0,137,0
1668088052.4445338,-110,-120,21,0,137,0
1668088052.913985,-110,-120,20,0,137,0
1668088053.374229,-110,-120,19,0,137,0
1668088054.0639126,-110,-120,17,0,137,0
1668088054.5238056,-111,-120,19,0,137,0
1668088054.9940176,-111,-120,19,0,137,0
1668088055.4541752,-111,-120,18,0,137,0
1668088055.923784,-112,-120,20,0,137,0
1668088056.614065,-112,-120,20,0,137,0
1668088057.0739708,-112,-120,20,0,137,0
1668088057.5336692,-112,-120,18,0,137,0
1668088058.0036466,-112,-120,19,0,137,0
1668088058.453535,-112,-120,20,0,137,0
1668088059.1537216,-114,-120,20,0,137,0
1668088059.6138322,-115,-120,19,0,137,0
1668088060.084014,-115,-120,21,0,137,0
1668088060.533848,-116,-120,22,0,137,0
1668088060.9939933,-116,-120,18,0,137,0
1668088061.7040007,-118,-120,19,0,137,0
1668088062.1437466,-118,-120,20,0,137,0
1668088062.6138744,-118,-120,19,0,137,0
1668088063.0737357,-118,-120,20,0,137,0
1668088063.543555,-118,-120,20,0,137,0
1668088064.0038154,-118,-120,17,0,137,0
1668088064.694279,-118,-120,19,0,137,0
1668088065.1541753,-118,-120,18,0,137,0
1668088065.62409,-118,-120,19,0,137,0
1668088066.0843077,-118,-120,21,0,137,0
1668088066.5538723,-118,-120,19,0,137,0
1668088067.2443311,-118,-120,19,0,137,0
1668088067.7042696,-118,-120,20,0,137,0
1668088068.1635826,-118,-120,18,0,137,0
1668088068.6344404,-118,-120,18,0,137,0
1668088069.094228,-118,-120,18,0,137,0
1668088069.7841573,-118,-120,19,0,137,0
